rank;category;contract;underlying;expiry;coverage;total_volume
1;USDTRY;F_USDTRY0526;D_USDTRY;2026-05-25;17/17;2996288
2;USDTRY;F_USDTRY0626;D_USDTRY;2026-06-30;17/17;1247287
3;USDTRY;F_USDTRY0726;D_USDTRY;2026-07-31;17/17;134664
4;USDTRY;F_USDTRY0826;D_USDTRY;2026-08-31;17/17;339179
5;USDTRY;F_USDTRY0926;D_USDTRY;2026-09-30;17/17;2399
6;USDTRY;F_USDTRY1026;D_USDTRY;2026-10-30;17/17;2542
7;USDTRY;F_USDTRY1126;D_USDTRY;2026-11-30;17/17;859
8;USDTRY;F_USDTRY1226;D_USDTRY;2026-12-31;17/17;288837
9;EUR;F_EURUSD0426;D_EURUSD;2026-04-30;10/17;37350
10;EUR;F_EURUSD0526;D_EURUSD;2026-05-25;12/17;57326
11;BIST30;F_XU0300426;D_XU030D;2026-04-30;12/17;2591223
12;ALTIN_TRY;F_XAUTRYM0426;D_XAUTRY;2026-04-30;12/17;1954012
13;ALTIN_USD;F_XAUUSD0426;D_XAUUSD;2026-04-30;12/17;570241
