rank;contract;underlying;expiry;instrument_type;files_with_data;total_volume;total_traded_value;total_trade_count
1;F_USDTRY0526;D_USDTRY;2026-05-25;D_CR_FUT;17;2996288;138031660585;156765
2;F_USDTRY0626;D_USDTRY;2026-06-30;D_CR_FUT;17;1247287;59378644644;75369
3;F_USDTRY0826;D_USDTRY;2026-08-31;D_CR_FUT;17;339179;17013313319;1932
4;F_USDTRY1226;D_USDTRY;2026-12-31;D_CR_FUT;17;288837;16254758179;5961
5;F_USDTRY0726;D_USDTRY;2026-07-31;D_CR_FUT;17;134664;6576351751;2300
6;F_EURUSD1226;D_EURUSD;2026-12-31;D_CR_FUT;17;3126;164287813;341
7;F_USDTRY1026;D_USDTRY;2026-10-30;D_CR_FUT;17;2542;134905879;452
8;F_USDTRY0926;D_USDTRY;2026-09-30;D_CR_FUT;17;2399;124391877;374
9;F_EURTRY1226;D_EURTRY;2026-12-31;D_CR_FUT;17;1584;105180806;356
10;F_USDTRY0227;D_USDTRY;2027-02-26;D_CR_FUT;17;944;56289759;119
11;F_USDTRY1126;D_USDTRY;2026-11-30;D_CR_FUT;17;859;47167145;214
12;F_USDTRY0127;D_USDTRY;2027-01-29;D_CR_FUT;17;847;48522306;120
13;F_CNHTRY1226;D_CNHTRY;2026-12-31;D_CR_FUT;17;1;83239;1
14;F_RUBTRY1226;D_RUBTRY;2026-12-31;D_CR_FUT;17;1;60221;1
15;F_ELCBAS0526;D_ELCBAS05;2026-06-01;D_EL_FUT;17;0;0;0
16;F_ELCBASQ426;D_ELCBASQ4;2026-09-29;D_EL_FUT;17;0;0;0
17;F_P_USDTRY1226;USDTRYP.CX;2026-12-31;D_CR_FPD;17;0;0;0
18;F_TLREF1M0526;D_TLREF1M;2026-05-26;D_FI_FUT;17;0;0;0
19;F_ELCBASQ127;D_ELCBASQ1;2026-12-30;D_EL_FUT;17;0;0;0
20;F_GBPUSD1226;D_GBPUSD;2026-12-31;D_CR_FUT;17;0;0;0
