TARIH;SOZLESME KODU;SOZLESME ADI;PAZAR;PAZAR SEGMENTI;SOZLESME TIPI;SOZLESME SINIFI;DAYANAK VARLIK;VADE TARIHI;UZLASMA FIYATI;ONCEKI UZLASMA FIYATI;UZLASMA FIYATI DEGISIMI (%);ACILIS FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI; AGIRLIKLI ORTALAMA FIYAT;ISLEM HACMI;PRIM HACMI;ISLEM MIKTARI;ISLEM SAYISI;ACIK POZISYON;ACIK POZISYON DEGISIMI;ACILIS SEANSI FIYATI;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI PRIM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI ISLEM SAYISI
TRADE DATE;INSTRUMENT SERIES;INSTRUMENT NAME;MARKET;MARKET SEGMENT;INSTRUMENT TYPE;INSTRUMENT CLASS;UNDERLYING;EXPIRATION DATE;SETTLEMENT PRICE;PREVIOUS SETTLEMENT PRICE;CHANGE OF SETTLEMENT PRICE (%);OPENING PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;VWAP;TRADED VALUE;PREMIUM VALUE;TRADE VOLUME;TRADE COUNT;OPEN POSITION;OPEN POSITION CHANGE;OPENING SESSION PRICE;TRADED VALUE AT OPENING SESSION;PREMIUM VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;TRADE COUNT AT OPENING SESSION
2026-05-07;F_AEFES0526;AEFES_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-05-25;20.85;20.4;2.21;20.47;20.39;21.01;20.83;20.74;281879592;0;135911;10594;286282;9429;20.47;71645;0;35;8
2026-05-07;F_AEFES0626;AEFES_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-06-30;21.37;20.92;2.15;21.41;20.97;21.57;21.4;21.36;31806442;0;14746;741;24923;7873;21.41;8564;0;4;3
2026-05-07;F_AEFES0726;AEFES_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AEFES_FPD;AEFES.E;2026-07-31;22.05;21.44;2.85;21.48;21.19;22.14;22;21.88;17300520;0;7739;41;7843;7580;;;;;
2026-05-07;F_AKBNK0526;AKBNK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-05-25;76.84;76.35;0.64;76.3;76.18;78.2;76.88;77.08;4600419704;0;596815;43706;760828;2761;76.3;770630;0;101;7
2026-05-07;F_AKBNK0626;AKBNK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-06-30;79.01;78.58;0.55;78.56;78.4;80.41;79.01;79.36;110383404;0;13910;1849;28768;2309;;;;;
2026-05-07;F_AKBNK0726;AKBNK_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKBNK_FPD;AKBNK.E;2026-07-31;81.39;80.81;0.72;82.13;80.78;82.88;81.73;81.46;1824758;0;224;103;465;124;;;;;
2026-05-07;F_AKSEN0526;AKSEN_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-05-25;90.28;91.22;-1.03;91.3;88.88;91.65;90.26;90.36;268193458;0;29682;6354;92636;-2022;;;;;
2026-05-07;F_AKSEN0626;AKSEN_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-06-30;93.14;93.71;-0.61;93.85;91.4;94.4;94.4;92.65;10589832;0;1143;239;2667;70;;;;;
2026-05-07;F_AKSEN0726;AKSEN_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_AKSEN_FPD;AKSEN.E;2026-07-31;95.77;96.94;-1.21;95.86;94.5;96.35;96.35;95.77;239435;0;25;11;42;15;;;;;
2026-05-07;F_ALARK0526;ALARK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-05-25;102.15;102.9;-0.73;103.6;101.7;104.45;101.9;103.03;173951725;0;16884;5326;74590;-672;103.6;51800;0;5;5
2026-05-07;F_ALARK0626;ALARK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-06-30;105.2;105.65;-0.43;106.3;104.7;107;104.9;105.73;7940245;0;751;262;970;-90;;;;;
2026-05-07;F_ALARK0726;ALARK_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ALARK_FPD;ALARK.E;2026-07-31;108.15;107.6;0.51;109.75;107;109.75;107;108.3;205775;0;19;12;28;15;;;;;
2026-05-07;F_ARCLK0526;ARCLK_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-05-25;117.65;116.15;1.29;116.4;110.65;118.3;117.75;117.42;141320110;0;12035;3697;40267;2053;116.4;116400;0;10;1
2026-05-07;F_ARCLK0626;ARCLK_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-06-30;120.85;119.35;1.26;117.05;116.3;121.2;120.45;120.7;7169750;0;594;207;1472;202;;;;;
2026-05-07;F_ARCLK0726;ARCLK_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ARCLK_FPD;ARCLK.E;2026-07-31;124.65;122.8;1.51;125.1;124.15;125.65;124.6;124.76;898270;0;72;30;54;47;;;;;
2026-05-07;F_ASELS0526;ASELS_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASELS_FPD;ASELS.E;2026-05-25;434;444.55;-2.37;446.85;428.3;446.85;433.8;434.54;2710255995;0;62370;19899;101041;-1892;;;;;
2026-05-07;F_ASELS0626;ASELS_06/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASELS_FPD;ASELS.E;2026-06-30;445.15;457.45;-2.69;458.65;440.65;458.7;446.25;446.01;260829345;0;5842;1993;11640;1290;;;;;
2026-05-07;F_ASELS0726;ASELS_07/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASELS_FPD;ASELS.E;2026-07-31;458;472.2;-3.01;469.9;453.9;469.9;456.9;458.79;3945585;0;86;48;180;43;;;;;
2026-05-07;F_ASTOR0526;ASTOR_05/2026_VIS;D_EQ;SSF;D_EQ_FPD;DE_ASTOR_FPD;ASTOR.E;2026-05-25;324.6;321.15;1.07;322;305.5;325.8;325.7;314.37;4016273280;0;127756;39398;42852;-4366;322;4991000;0;155;12
